               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  27,            0.045251,            0.051478,           0.0039324,             0.73527,             0.63646,             0.64812,             0.26854,            0.036667,            0.038656,           0.0027223,            0.004852,            0.004852,            0.004852
                  28,            0.045785,            0.051116,           0.0037493,             0.75945,             0.63031,             0.65526,             0.26933,            0.036831,            0.038788,           0.0028323,            0.004654,            0.004654,            0.004654
                  29,            0.045035,            0.051411,           0.0037615,             0.73614,             0.63358,             0.65526,             0.26063,            0.036976,            0.038799,           0.0026303,            0.004456,            0.004456,            0.004456
                  30,            0.045047,            0.051397,           0.0037021,             0.70008,             0.67746,             0.66088,             0.27008,            0.036421,            0.038791,            0.002683,            0.004258,            0.004258,            0.004258
                  31,            0.045287,            0.051229,           0.0036067,             0.76131,             0.65911,             0.67043,             0.26498,            0.036629,            0.038918,           0.0026784,             0.00406,             0.00406,             0.00406
                  32,             0.04496,            0.050756,           0.0034073,             0.77529,             0.65418,             0.68239,             0.27646,            0.036646,            0.038635,           0.0027297,            0.003862,            0.003862,            0.003862
                  33,            0.044462,            0.051188,           0.0034293,             0.75775,              0.6595,              0.6821,             0.28026,            0.036156,             0.03855,           0.0025221,            0.003664,            0.003664,            0.003664
                  34,            0.044899,            0.052067,           0.0034495,             0.75005,             0.66427,             0.66285,             0.27055,            0.036338,             0.03875,           0.0026309,            0.003466,            0.003466,            0.003466
                  35,            0.044956,            0.051186,           0.0035498,             0.76354,             0.65918,             0.66389,             0.27421,            0.036293,            0.038633,            0.002416,            0.003268,            0.003268,            0.003268
                  36,            0.044241,            0.050857,           0.0033229,              0.7308,             0.66678,              0.6594,             0.27115,            0.036542,            0.038737,            0.002412,             0.00307,             0.00307,             0.00307
                  37,            0.044197,            0.051151,           0.0032418,             0.75353,             0.65847,             0.66293,             0.27043,            0.036381,            0.038604,           0.0024688,            0.002872,            0.002872,            0.002872
                  38,            0.044855,            0.051981,            0.003457,             0.75838,             0.65988,             0.67664,             0.27255,            0.036128,            0.038685,           0.0026671,            0.002674,            0.002674,            0.002674
                  39,            0.044643,            0.051375,           0.0033759,             0.76674,             0.66313,             0.66622,             0.26673,            0.036229,            0.038934,           0.0026278,            0.002476,            0.002476,            0.002476
                  40,            0.044139,            0.051177,           0.0032632,             0.78115,             0.66603,              0.6757,             0.26991,            0.036232,             0.03864,           0.0024283,            0.002278,            0.002278,            0.002278
                  41,            0.043894,            0.051075,           0.0029813,             0.75354,             0.65535,              0.6585,             0.26979,            0.036203,            0.038453,           0.0027332,             0.00208,             0.00208,             0.00208
                  42,            0.044247,            0.051317,           0.0033014,             0.76766,             0.65514,             0.65844,             0.27102,            0.035863,            0.038461,           0.0025596,            0.001882,            0.001882,            0.001882
                  43,            0.043203,             0.05046,           0.0029496,             0.77577,             0.66425,             0.67649,             0.27119,            0.035874,            0.038683,           0.0025145,            0.001684,            0.001684,            0.001684
                  44,            0.043215,            0.050856,           0.0029797,             0.77162,             0.65191,             0.66871,             0.27507,            0.035969,            0.038614,           0.0025572,            0.001486,            0.001486,            0.001486
                  45,            0.043872,            0.050914,           0.0029201,             0.77771,             0.66688,             0.67843,             0.27502,            0.036109,            0.038558,           0.0025138,            0.001288,            0.001288,            0.001288
                  46,            0.043292,            0.050814,           0.0028554,             0.75629,             0.66901,             0.67525,             0.28001,            0.035665,            0.038448,           0.0024074,             0.00109,             0.00109,             0.00109
                  47,            0.043864,            0.050506,           0.0030397,             0.76788,             0.68325,              0.6899,             0.28117,             0.03567,            0.038494,           0.0025299,            0.000892,            0.000892,            0.000892
                  48,            0.043343,             0.05056,           0.0028559,             0.76405,             0.67986,             0.68409,             0.28241,            0.035902,            0.038468,           0.0024574,            0.000694,            0.000694,            0.000694
                  49,            0.043014,            0.050565,           0.0029451,             0.75949,             0.67777,             0.67893,              0.2788,            0.035899,            0.038471,           0.0024197,            0.000496,            0.000496,            0.000496
